Date,Price,Open,High,Low,Vol.,Change %
2021-02-03,"5,581.86","5,564.69","5,605.90","5,547.14",-,0.31%
2021-02-02,"5,564.69","5,599.80","5,619.91","5,555.90",-,-0.63%
2021-02-01,"5,599.80","5,649.86","5,684.58","5,599.02",-,-0.89%
2021-01-31,"5,649.86","5,724.35","5,756.99","5,648.14",-,-1.30%
2021-01-28,"5,724.35","5,714.74","5,786.30","5,713.89",-,0.17%
2021-01-27,"5,714.74","5,695.37","5,748.87","5,688.88",-,0.34%
2021-01-26,"5,695.37","5,789.92","5,789.92","5,685.70",-,-1.63%
2021-01-25,"5,789.92","5,815.54","5,844.37","5,762.93",-,-0.44%
2021-01-24,"5,815.54","5,836.18","5,853.46","5,809.38",-,-0.35%
2021-01-21,"5,836.18","5,827.56","5,861.49","5,825.20",-,0.15%
2021-01-20,"5,827.56","5,820.80","5,861.88","5,806.73",-,0.12%
2021-01-19,"5,820.80","5,801.72","5,863.30","5,789.50",-,0.33%
2021-01-18,"5,801.72","5,850.43","5,874.47","5,725.67",-,-0.83%
2021-01-17,"5,850.43","5,909.30","5,971.79","5,836.21",-,-1.00%
2021-01-14,"5,909.30","5,770.00","5,939.59","5,770.00",-,2.41%
2021-01-13,"5,770.00","5,861.02","5,861.02","5,758.88",-,-1.55%
2021-01-12,"5,861.02","5,718.75","5,863.50","5,718.75",-,2.49%
2021-01-11,"5,718.75","5,634.04","5,729.70","5,634.04",-,1.50%
2021-01-10,"5,634.04","5,621.76","5,678.65","5,616.35",-,0.22%
2021-01-07,"5,621.76","5,640.19","5,716.37","5,608.46",-,-0.33%
2021-01-06,"5,640.19","5,609.70","5,654.23","5,558.08",-,0.54%
2021-01-05,"5,609.70","5,652.32","5,831.83","5,596.24",-,-0.75%
2021-01-04,"5,652.32","5,618.95","5,680.62","5,574.20",-,0.59%
2021-01-03,"5,618.95","5,402.06","5,622.22","5,402.06",-,4.01%
2020-12-30,"5,402.06","5,358.25","5,407.10","5,358.25",-,0.82%
2020-12-29,"5,358.25","5,344.01","5,379.75","5,334.93",-,0.27%
2020-12-28,"5,344.01","5,328.27","5,352.45","5,297.59",-,0.30%
2020-12-27,"5,328.27","5,326.64","5,332.96","5,326.52",-,2.11%
2020-12-24,"5,218.36","5,133.29","5,223.51","5,133.10",-,1.66%
2020-12-23,"5,133.29","5,098.48","5,133.80","5,088.26",-,0.68%
2020-12-22,"5,098.48","5,115.19","5,125.47","5,098.48",-,-0.33%
2020-12-21,"5,115.19","5,074.58","5,119.94","5,074.58",-,0.80%
2020-12-20,"5,074.58","5,108.03","5,115.15","5,062.70",-,-0.65%
2020-12-17,"5,108.03","5,123.06","5,135.38","5,099.36",-,-0.29%
2020-12-15,"5,123.06","5,147.02","5,182.64","5,120.58",-,-0.47%
2020-12-14,"5,147.02","5,126.43","5,161.02","5,122.17",-,0.40%
2020-12-13,"5,126.43","5,094.66","5,129.66","5,086.56",-,0.62%
2020-12-10,"5,094.66","5,069.88","5,101.73","5,069.88",-,0.49%
2020-12-09,"5,069.88","5,049.80","5,074.38","5,041.98",-,0.40%
2020-12-08,"5,049.80","5,053.49","5,066.42","5,036.28",-,-0.07%
2020-12-07,"5,053.49","5,024.38","5,064.58","5,024.38",-,0.58%
2020-12-06,"5,024.38","4,974.83","5,026.32","4,974.83",-,1.00%
2020-12-03,"4,974.83","4,934.86","4,976.56","4,934.82",-,0.81%
2020-12-02,"4,934.86","4,903.95","4,940.30","4,903.95",-,0.63%
2020-12-01,"4,903.95","4,866.84","4,912.56","4,866.84",-,0.76%
2020-11-30,"4,866.84","4,881.82","4,886.29","4,863.24",-,-0.31%
2020-11-29,"4,881.82","4,869.09","4,889.68","4,866.42",-,0.26%
2020-11-26,"4,869.09","4,861.87","4,879.49","4,859.90",-,0.15%
2020-11-25,"4,861.87","4,833.19","4,865.56","4,833.19",-,0.59%
2020-11-24,"4,833.19","4,817.70","4,847.24","4,817.70",-,0.32%
2020-11-23,"4,817.70","4,845.09","4,845.09","4,780.04",-,-0.57%
